Team,Name,BATTLEBOX_points,BINGO_points,BUILDBATTLE_points,DROPPER_points,SKYWARS_points,SURVIVALGAMES_points,TGTTOS_points,TNTRUN_points,BATTLEBOX_multiplier,BINGO_multiplier,BUILDBATTLE_multiplier,DROPPER_multiplier,SKYWARS_multiplier,SURVIVALGAMES_multiplier,TGTTOS_multiplier,TNTRUN_multiplier,Total,RawTotal
Dig Bick Boys,GrayMan2003,0,40,735,37,170,45,0,126,1.5,2.0,2.5,2.5,1.0,1.0,1.5,2.0,1153.0,606.8
Dig Bick Boys,HIGHFLY100,185,720,735,727,230,120,584,786,1.5,2.0,2.5,2.5,1.0,1.0,1.5,2.0,4087.0,2200.4666666666662
Dig Bick Boys,cardsandhuskers,111,180,735,677,580,235,512,462,1.5,2.0,2.5,2.5,1.0,1.0,1.5,2.0,3492.0,2116.133333333333
Haha funni,Dellphoenix,270,240,650,517,40,15,299,126,1.5,2.0,2.5,2.5,1.0,1.0,1.5,2.0,2157.0,1084.1333333333332
Haha funni,LinkMaster12,159,40,650,205,48,60,143,546,1.5,2.0,2.5,2.5,1.0,1.0,1.5,2.0,1851.0,944.3333333333334
Haha funni,Mr_Diamond_2000,307,100,650,187,32,0,380,294,1.5,2.0,2.5,2.5,1.0,1.0,1.5,2.0,1950.0,1021.8
PoopyNuts,TreeGameDev,490,520,708,414,224,180,175,504,1.5,2.0,2.5,2.5,1.0,1.0,1.5,2.0,3215.0,1808.1333333333334
PoopyNuts,candleflint,601,0,708,607,346,210,344,568,1.5,2.0,2.5,2.5,1.0,1.0,1.5,2.0,3384.0,1996.0
PoopyNuts,iheartburgers,564,320,708,840,170,30,376,308,1.5,2.0,2.5,2.5,1.0,1.0,1.5,2.0,3316.0,1759.8666666666668
Teal Team Six,Minearhero,342,380,770,522,386,600,152,434,1.5,2.0,2.5,2.5,1.0,1.0,1.5,2.0,3586.0,2239.133333333333
Teal Team Six,Pope_Dog,564,640,770,516,562,385,423,1010,1.5,2.0,2.5,2.5,1.0,1.0,1.5,2.0,4870.0,2944.4
Teal Team Six,foxxytwelve,453,40,770,423,462,745,436,842,1.5,2.0,2.5,2.5,1.0,1.0,1.5,2.0,4171.0,2717.866666666667
Team,LittleBubble64,527,0,816,445,176,105,281,266,1.5,2.0,2.5,2.5,1.0,1.0,1.5,2.0,2616.0,1457.0666666666666
Team,Ryan_7777,453,280,816,868,234,350,624,484,1.5,2.0,2.5,2.5,1.0,1.0,1.5,2.0,4109.0,2357.6
Team,YellowMandy,453,520,816,774,364,565,256,756,1.5,2.0,2.5,2.5,1.0,1.0,1.5,2.0,4504.0,2675.6666666666665
coolest ppl here,1Smokey,283,240,616,0,292,370,433,490,1.5,2.0,2.5,2.5,1.0,1.0,1.5,2.0,2724.0,1750.7333333333333
coolest ppl here,Pancake_Manz,172,100,617,212,210,240,304,532,1.5,2.0,2.5,2.5,1.0,1.0,1.5,2.0,2387.0,1414.9333333333334
coolest ppl here,_savannah,98,100,617,297,152,225,91,196,1.5,2.0,2.5,2.5,1.0,1.0,1.5,2.0,1776.0,1016.6
gasstationsushi,Gink0_,368,120,800,683,128,455,258,448,1.5,2.0,2.5,2.5,1.0,1.0,1.5,2.0,3260.0,1877.5333333333333
gasstationsushi,Lord_Beaker,442,400,800,909,304,830,629,448,1.5,2.0,2.5,2.5,1.0,1.0,1.5,2.0,4762.0,2955.6000000000004
gasstationsushi,Zombeescott,294,220,800,702,72,415,231,834,1.5,2.0,2.5,2.5,1.0,1.0,1.5,2.0,3568.0,1964.8
loners with boners,MemelordMo,233,460,669,0,456,75,179,56,1.5,2.0,2.5,2.5,1.0,1.0,1.5,2.0,2128.0,1331.2666666666667
loners with boners,computerz4,122,0,669,283,258,195,209,196,1.5,2.0,2.5,2.5,1.0,1.0,1.5,2.0,1932.0,1152.4666666666667
loners with boners,dhaan007,159,160,669,0,462,90,463,336,1.5,2.0,2.5,2.5,1.0,1.0,1.5,2.0,2339.0,1482.2666666666667
