Team,Name,BATTLEBOX_points,BUILDBATTLE_points,DROPPER_points,SKYWARS_points,SURVIVALGAMES_points,TAG_points,TGTTOS_points,TNTRUN_points,BATTLEBOX_multiplier,BUILDBATTLE_multiplier,DROPPER_multiplier,SKYWARS_multiplier,SURVIVALGAMES_multiplier,TAG_multiplier,TGTTOS_multiplier,TNTRUN_multiplier,Total,RawTotal
Barack O-Bombers,HIGHFLY100,625.0,177.25,567.0,16.0,230.0,1057.5,492.0,397.5,2.5,1.0,1.5,2.0,1.0,2.5,2.0,1.5,3562.25,1977.25
Barack O-Bombers,cardsandhuskers,175.0,177.25,475.5,152.0,139.0,1357.5,513.0,540.0,2.5,1.0,1.5,2.0,1.0,2.5,2.0,1.5,3529.25,1938.75
Barack O-Bombers,imaduck_lol,275.0,177.25,136.5,144.0,120.0,862.5,390.0,102.0,2.5,1.0,1.5,2.0,1.0,2.5,2.0,1.5,2207.25,1178.25
Barack O-Bombers,j_scotty_,225.0,177.25,52.5,208.0,176.0,755.0,267.0,198.0,2.5,1.0,1.5,2.0,1.0,2.5,2.0,1.5,2058.75,1149.75
GasStationSushi,Gink0_,400.0,212.25,85.5,160.0,32.0,710.0,66.0,258.0,2.5,1.0,1.5,2.0,1.0,2.5,2.0,1.5,1923.75,1030.25
GasStationSushi,Lord_Beaker,700.0,212.25,525.0,350.0,40.0,1410.0,150.0,562.5,2.5,1.0,1.5,2.0,1.0,2.5,2.0,1.5,3949.75,2071.25
GasStationSushi,Stan_D_Man,450.0,212.25,97.5,104.0,24.0,465.0,48.0,222.0,2.5,1.0,1.5,2.0,1.0,2.5,2.0,1.5,1622.75,891.25
GasStationSushi,candleflint,700.0,212.25,459.0,136.0,88.0,557.5,336.0,324.0,2.5,1.0,1.5,2.0,1.0,2.5,2.0,1.5,2812.75,1561.25
Girth Control,R41NY__,837.5,196.0,292.5,383.5,48.0,1047.5,354.0,432.0,2.5,1.0,1.5,2.0,1.0,2.5,2.0,1.5,3591.0,1849.75
Girth Control,TreeGameDev,587.5,196.0,196.5,95.5,16.0,390.0,201.0,348.0,2.5,1.0,1.5,2.0,1.0,2.5,2.0,1.5,2030.5,1114.25
Girth Control,_savannah,487.5,196.0,285.0,415.5,259.0,995.0,294.0,162.0,2.5,1.0,1.5,2.0,1.0,2.5,2.0,1.5,3094.0,1700.75
Girth Control,nxva_ii,887.5,196.0,345.0,493.5,96.0,1587.5,630.0,463.5,2.5,1.0,1.5,2.0,1.0,2.5,2.0,1.5,4699.0,2382.75
Team 7,Mztt,1062.5,198.5,495.0,1688.0,580.0,1115.0,645.0,720.0,2.5,1.0,1.5,2.0,1.0,2.5,2.0,1.5,6504.0,3626.0
Team 7,Samyntha,712.5,198.5,504.0,726.0,283.0,1065.0,657.0,463.5,2.5,1.0,1.5,2.0,1.0,2.5,2.0,1.5,4609.5,2529.0
Team 7,bubbaheaton,912.5,198.5,81.0,948.0,275.0,940.0,405.0,306.0,2.5,1.0,1.5,2.0,1.0,2.5,2.0,1.5,4066.0,2149.0
Team 7,iheartburgers,1012.5,198.5,541.5,726.0,224.0,697.5,492.0,426.0,2.5,1.0,1.5,2.0,1.0,2.5,2.0,1.5,4318.0,2360.5
alquesadia,Lord_The_Kaizer,600.0,166.0,319.5,762.0,8.0,710.0,474.0,246.0,2.5,1.0,1.5,2.0,1.0,2.5,2.0,1.5,3285.5,1693.0
alquesadia,Minearhero,500.0,166.0,222.0,392.0,56.0,555.0,282.0,240.0,2.5,1.0,1.5,2.0,1.0,2.5,2.0,1.5,2413.0,1289.0
alquesadia,dhaan007,500.0,166.0,21.0,426.0,160.0,340.0,525.0,378.0,2.5,1.0,1.5,2.0,1.0,2.5,2.0,1.5,2516.0,1403.5
alquesadia,foxxytwelve,600.0,166.0,483.0,694.0,307.0,555.0,234.0,378.0,2.5,1.0,1.5,2.0,1.0,2.5,2.0,1.5,3417.0,1973.0
better team,Dellphoenix,750.0,168.5,120.0,386.0,315.0,510.0,0.0,84.0,2.5,1.0,1.5,2.0,1.0,2.5,2.0,1.5,2333.5,1316.5
better team,Mu7u,1200.0,168.5,427.5,216.0,342.0,950.0,489.0,436.5,2.5,1.0,1.5,2.0,1.0,2.5,2.0,1.5,4229.5,2299.0
better team,Zombeescott,900.0,168.5,379.5,304.0,248.0,937.5,438.0,282.0,2.5,1.0,1.5,2.0,1.0,2.5,2.0,1.5,3657.5,1963.5
better team,kaylinnn,1250.0,168.5,348.0,1058.0,631.0,1240.0,585.0,204.0,2.5,1.0,1.5,2.0,1.0,2.5,2.0,1.5,5484.5,2985.0
placeholder name,Mr_Diamond_2000,275.0,216.0,427.5,426.0,112.0,670.0,483.0,420.0,2.5,1.0,1.5,2.0,1.0,2.5,2.0,1.5,3029.5,1725.5
placeholder name,Pancake_Manz,275.0,216.0,222.0,566.0,104.0,1175.0,492.0,483.0,2.5,1.0,1.5,2.0,1.0,2.5,2.0,1.5,3533.0,1899.0
placeholder name,Pope_Dog,175.0,216.0,429.0,352.0,291.0,1282.5,354.0,316.5,2.5,1.0,1.5,2.0,1.0,2.5,2.0,1.5,3416.0,1940.0
placeholder name,SeasonPower,225.0,216.0,213.0,428.0,128.0,1125.0,288.0,384.0,2.5,1.0,1.5,2.0,1.0,2.5,2.0,1.5,3007.0,1640.0
team,LittleBubble64,600.0,224.75,319.5,418.0,388.0,860.0,168.0,78.0,2.5,1.0,1.5,2.0,1.0,2.5,2.0,1.5,3056.25,1754.75
team,Ryan_7777,400.0,224.75,276.0,80.0,688.0,965.0,414.0,234.0,2.5,1.0,1.5,2.0,1.0,2.5,2.0,1.5,3281.75,2045.75
team,TheWander02,600.0,224.75,112.5,274.0,372.0,1285.0,264.0,174.0,2.5,1.0,1.5,2.0,1.0,2.5,2.0,1.5,3306.25,1810.75
team,YellowMandy,700.0,224.75,339.0,248.0,739.0,792.5,459.0,420.0,2.5,1.0,1.5,2.0,1.0,2.5,2.0,1.5,3922.25,2420.25
team crafted,GoodGuySam,650.0,198.5,297.0,692.0,361.0,565.0,546.0,168.0,2.5,1.0,1.5,2.0,1.0,2.5,2.0,1.5,3477.5,1974.5
team crafted,ThatOneAsianBoi,500.0,198.5,340.5,248.0,0.0,750.0,345.0,330.0,2.5,1.0,1.5,2.0,1.0,2.5,2.0,1.5,2712.0,1442.0
team crafted,maxsm_,600.0,198.5,183.0,248.0,219.0,1012.5,429.0,156.0,2.5,1.0,1.5,2.0,1.0,2.5,2.0,1.5,3046.0,1627.0
team crafted,snailberry,400.0,198.5,435.0,248.0,72.0,905.0,387.0,498.0,2.5,1.0,1.5,2.0,1.0,2.5,2.0,1.5,3143.5,1732.0
