Team,Name,BATTLEBOX_points,BUILDBATTLE_points,DROPPER_points,PARKOUR_points,SKYWARS_points,SURVIVALGAMES_points,TAG_points,TNTRUN_points,BATTLEBOX_multiplier,BUILDBATTLE_multiplier,DROPPER_multiplier,PARKOUR_multiplier,SKYWARS_multiplier,SURVIVALGAMES_multiplier,TAG_multiplier,TNTRUN_multiplier,Total,RawTotal
HighJackers,DrippinCauk,715.5,515.0,567.0,900.0,182.0,765.0,858.0,462.0,1.5,2.5,1.5,2.5,1.0,1.0,2.0,2.0,4964.5,3028.0
HighJackers,HIGHFLY100,580.5,515.0,328.5,443.75,158.0,184.0,788.0,280.0,1.5,2.5,1.5,2.5,1.0,1.0,2.0,2.0,3277.75,1865.5
HighJackers,iheartburgers,625.5,515.0,351.0,591.25,194.0,279.0,750.0,399.0,1.5,2.5,1.5,2.5,1.0,1.0,2.0,2.0,3704.75,2141.0
HighJackers,j_scotty_,535.5,515.0,397.5,188.75,188.0,280.0,504.0,56.0,1.5,2.5,1.5,2.5,1.0,1.0,2.0,2.0,2664.75,1651.5
MEOW,Angel505,279.0,452.5,406.5,392.5,27.0,42.0,528.0,154.0,1.5,2.5,1.5,2.5,1.0,1.0,2.0,2.0,2281.5,1205.0
MEOW,GrayMan2003,234.0,452.5,13.5,2.5,57.0,126.0,500.0,126.0,1.5,2.5,1.5,2.5,1.0,1.0,2.0,2.0,1511.5,843.0
MEOW,R41NY__,346.5,452.5,412.5,837.5,30.0,0.0,666.0,322.0,1.5,2.5,1.5,2.5,1.0,1.0,2.0,2.0,3067.0,1546.0
MEOW,earthside,526.5,452.5,501.0,1183.75,384.0,1214.0,882.0,772.0,1.5,2.5,1.5,2.5,1.0,1.0,2.0,2.0,5915.75,3764.5
Mulch Enjoyers,Gink0_,373.5,483.75,181.5,283.75,105.0,173.0,400.0,105.0,1.5,2.5,1.5,2.5,1.0,1.0,2.0,2.0,2105.5,1207.5
Mulch Enjoyers,Lord_Beaker,576.0,483.75,558.0,1111.25,147.0,226.0,554.0,504.0,1.5,2.5,1.5,2.5,1.0,1.0,2.0,2.0,4160.0,2296.0
Mulch Enjoyers,candleflint,463.5,483.75,268.5,610.0,120.0,102.0,388.0,479.0,1.5,2.5,1.5,2.5,1.0,1.0,2.0,2.0,2914.75,1581.0
Mulch Enjoyers,cardsandhuskers,486.0,483.75,373.5,882.5,456.0,452.0,564.0,518.0,1.5,2.5,1.5,2.5,1.0,1.0,2.0,2.0,4215.75,2568.5
Teal Team Six,Minearhero,292.5,440.0,316.5,76.25,180.0,90.0,414.0,343.0,1.5,2.5,1.5,2.5,1.0,1.0,2.0,2.0,2152.25,1261.0
Teal Team Six,Pope_Dog,517.5,440.0,277.5,600.0,294.0,215.0,438.0,530.0,1.5,2.5,1.5,2.5,1.0,1.0,2.0,2.0,3312.0,1939.0
