Team,Name,BATTLEBOX_points,BINGO_points,BUILDBATTLE_points,DROPPER_points,PARKOUR_points,SKYWARS_points,SURVIVALGAMES_points,TNTRUN_points,BATTLEBOX_multiplier,BINGO_multiplier,BUILDBATTLE_multiplier,DROPPER_multiplier,PARKOUR_multiplier,SKYWARS_multiplier,SURVIVALGAMES_multiplier,TNTRUN_multiplier,Total,RawTotal
Big Boss,MoMo0976,394.0,135.0,268.75,225.0,332.5,285.0,140.0,84.0,2.0,1.5,2.5,1.0,2.5,1.5,1.0,2.0,1864.25,1124.5
Big Boss,TheWander02,338.0,432.0,268.75,169.0,263.75,0.0,60.0,180.0,2.0,1.5,2.5,1.0,2.5,1.5,1.0,2.0,1711.5,989.0
DOOR,Samyntha,412.0,256.5,262.5,291.0,917.5,495.0,30.0,472.0,2.0,1.5,2.5,1.0,2.5,1.5,1.0,2.0,3136.5,1736.0
DOOR,cardsandhuskers,482.0,540.0,262.5,313.0,821.25,577.5,420.0,522.0,2.0,1.5,2.5,1.0,2.5,1.5,1.0,2.0,3938.25,2413.5
amesame,ShutdownSoCool,88.0,0.0,212.5,245.0,798.75,187.5,80.0,570.0,2.0,1.5,2.5,1.0,2.5,1.5,1.0,2.0,2181.75,1183.5
amesame,snailberry,116.0,256.5,212.5,310.0,623.75,135.0,90.0,324.0,2.0,1.5,2.5,1.0,2.5,1.5,1.0,2.0,2067.75,1215.5
bleh,Caffeinated_Lady,74.0,324.0,212.5,145.0,228.75,247.5,100.0,84.0,2.0,1.5,2.5,1.0,2.5,1.5,1.0,2.0,1415.75,881.5
bleh,Mr_Diamond_2000,130.0,216.0,212.5,321.0,711.25,412.5,70.0,240.0,2.0,1.5,2.5,1.0,2.5,1.5,1.0,2.0,2313.25,1364.5
team,Ryan_7777,528.0,499.5,275.0,223.0,657.5,127.5,20.0,500.0,2.0,1.5,2.5,1.0,2.5,1.5,1.0,2.0,2830.5,1548.0
team,YellowMandy,514.0,715.5,275.0,338.0,621.25,45.0,10.0,512.0,2.0,1.5,2.5,1.0,2.5,1.5,1.0,2.0,3030.75,1726.5
wah,Horntalo,192.0,108.0,112.5,107.0,107.5,142.5,50.0,84.0,2.0,1.5,2.5,1.0,2.5,1.5,1.0,2.0,903.5,550.0
wah,_AzureX,248.0,297.0,112.5,183.0,523.75,232.5,0.0,228.0,2.0,1.5,2.5,1.0,2.5,1.5,1.0,2.0,1824.75,1028.5
wah,purploo,220.0,121.5,112.5,107.0,206.25,150.0,50.0,336.0,2.0,1.5,2.5,1.0,2.5,1.5,1.0,2.0,1303.25,743.5
woofwoofbarkbark,R41NY__,458.0,256.5,237.5,319.0,743.75,465.0,440.0,348.0,2.0,1.5,2.5,1.0,2.5,1.5,1.0,2.0,3267.75,2035.5
woofwoofbarkbark,earthside,612.0,823.5,237.5,347.0,1033.75,502.5,840.0,402.0,2.0,1.5,2.5,1.0,2.5,1.5,1.0,2.0,4798.25,3086.5
zynners,Zombeescott,102.0,175.5,206.25,269.0,585.0,135.0,230.0,622.0,2.0,1.5,2.5,1.0,2.5,1.5,1.0,2.0,2324.75,1384.5
zynners,j_scotty_,74.0,67.5,206.25,227.0,442.5,135.0,110.0,264.0,2.0,1.5,2.5,1.0,2.5,1.5,1.0,2.0,1526.25,900.5
