Team,Name,BATTLEBOX_points,BINGO_points,DROPPER_points,PARKOUR_points,SKYWARS_points,SURVIVAL_GAMES_points,TGTTOS_points,TNTRUN_points,BATTLEBOX_multiplier,BINGO_multiplier,DROPPER_multiplier,PARKOUR_multiplier,SKYWARS_multiplier,SURVIVAL_GAMES_multiplier,TGTTOS_multiplier,TNTRUN_multiplier,Total,RawTotal
Not It,HIGHFLY100,148.0,872.5,280.5,387.0,104.0,56.0,640.0,175.5,2.0,2.5,1.5,2.0,1.0,1.0,2.5,1.5,2663.5,1336.5
Not It,Zombeescott,190.0,0.0,282.75,622.0,152.0,32.0,615.0,74.25,2.0,2.5,1.5,2.0,1.0,1.0,2.5,1.5,1968.0,1074.0
Not It,distractedm1nd,148.0,345.0,104.25,73.0,164.0,24.0,310.0,168.75,2.0,2.5,1.5,2.0,1.0,1.0,2.5,1.5,1337.0,742.5
Not It,maxsm_,190.0,345.0,238.5,217.0,120.0,16.0,352.5,465.75,2.0,2.5,1.5,2.0,1.0,1.0,2.5,1.5,1944.75,1088.0
Team Epic,MoMo0976,380.0,487.5,384.75,328.0,224.0,272.0,575.0,378.0,2.0,2.5,1.5,2.0,1.0,1.0,2.5,1.5,3029.25,1783.5
Team Epic,Mr_Diamond_2000,296.0,305.0,441.0,645.0,132.0,256.0,620.0,344.25,2.0,2.5,1.5,2.0,1.0,1.0,2.5,1.5,3039.25,1752.0
Team Epic,Samyntha,380.0,630.0,425.25,924.0,256.0,440.0,590.0,398.25,2.0,2.5,1.5,2.0,1.0,1.0,2.5,1.5,4043.5,2385.0
Team Epic,iheartburgers,338.0,730.0,504.0,430.0,212.0,208.0,675.0,324.0,2.0,2.5,1.5,2.0,1.0,1.0,2.5,1.5,3421.0,1918.0
balllickers,Cxxdii,782.0,912.5,338.25,753.0,232.0,216.0,670.0,364.5,2.0,2.5,1.5,2.0,1.0,1.0,2.5,1.5,4268.25,2317.0
balllickers,Pebbleleaf,614.0,567.5,323.25,839.0,208.0,152.0,465.0,408.0,2.0,2.5,1.5,2.0,1.0,1.0,2.5,1.5,3576.75,1987.0
balllickers,SeasonPower,572.0,202.5,386.25,269.0,124.0,72.0,335.0,256.5,2.0,2.5,1.5,2.0,1.0,1.0,2.5,1.5,2217.25,1260.0
balllickers,dripN_,1118.0,1300.0,460.5,830.0,84.0,168.0,737.5,337.5,2.0,2.5,1.5,2.0,1.0,1.0,2.5,1.5,5035.5,2573.0
losers queue,0_0shiro,1140.0,427.5,336.75,886.0,164.0,344.0,845.0,559.5,2.0,2.5,1.5,2.0,1.0,1.0,2.5,1.5,4702.75,2627.5
losers queue,GrayMan2003,636.0,0.0,146.25,10.0,68.0,64.0,100.0,81.0,2.0,2.5,1.5,2.0,1.0,1.0,2.5,1.5,1105.25,646.5
losers queue,Lord_The_Kaizer,846.0,670.0,355.5,492.0,52.0,0.0,487.5,324.0,2.0,2.5,1.5,2.0,1.0,1.0,2.5,1.5,3227.0,1637.0
losers queue,_Deoxys,888.0,672.5,363.0,659.0,464.0,112.0,745.0,572.25,2.0,2.5,1.5,2.0,1.0,1.0,2.5,1.5,4475.75,2540.0
