Team,Name,BATTLEBOX_SCORE,BUILDBATTLE_SCORE,DROPPER_SCORE,SKYWARS_SCORE,SURVIVALGAMES_SCORE,TAG_SCORE,TGTTOS_SCORE,TNTRUN_SCORE,BATTLEBOX_PCT,BUILDBATTLE_PCT,DROPPER_PCT,SKYWARS_PCT,SURVIVALGAMES_PCT,TAG_PCT,TGTTOS_PCT,TNTRUN_PCT,SUM_PCT,SCORE,TEAM_AVG,DIFF,DEVSCORE,FINAL_SCORE
Barack O-Bombers,HIGHFLY100,250.0,177.25,378.0,8.0,230.0,423.0,246.0,265.0,0.028735632183908046,0.02520978523680842,0.051295969602388386,0.001051801209571391,0.028148329457838697,0.03284416491963662,0.03618711385701677,0.03358681875792142,0.23705961522508973,6.613073507352878,5.158281542658301,1.4547919646945768,8.067865472047455,5.851392741384884
Barack O-Bombers,cardsandhuskers,70.0,177.25,317.0,76.0,139.0,543.0,256.5,360.0,0.008045977011494253,0.02520978523680842,0.04301804858189714,0.009992111490928214,0.017011381715824257,0.04216165851385977,0.03773168578993822,0.045627376425855515,0.22879802476660577,6.382606141843473,5.158281542658301,1.224324599185172,7.606930741028645,5.451051041288064
Barack O-Bombers,imaduck_lol,110.0,177.25,91.0,72.0,120.0,345.0,195.0,68.0,0.01264367816091954,0.02520978523680842,0.0123490297190935,0.00946621088614252,0.014686084934524538,0.026787794083391568,0.028684907325684024,0.00861850443599493,0.13844599478255903,3.8621236241623507,5.158281542658301,-1.2961579184959504,2.5659657056664003,1.0727554246290798
Barack O-Bombers,j_scotty_,90.0,177.25,35.0,104.0,176.0,302.0,133.5,132.0,0.010344827586206896,0.02520978523680842,0.004749626815035961,0.013673415724428083,0.021539591237302657,0.023449025545461605,0.01963812886142983,0.016730038022813688,0.13533443902948714,3.775322897274503,5.158281542658301,-1.3829586453837979,2.3923642518907053,0.9219750722997498
GasStationSushi,Gink0_,160.0,212.25,57.0,80.0,32.0,284.0,33.0,172.0,0.01839080459770115,0.030187740008533637,0.0077351065273442805,0.01051801209571391,0.00391628931587321,0.02205140150632813,0.0048543689320388345,0.021799746514575412,0.11945346949810856,3.332303453497381,4.594459406601834,-1.2621559531044526,2.0701475003929284,0.6421159221567977
GasStationSushi,Lord_Beaker,280.0,212.25,350.0,175.0,40.0,564.0,75.0,375.0,0.03218390804597701,0.030187740008533637,0.047496268150359615,0.02300815145937418,0.004895361644841513,0.04379221989284882,0.011032656663724626,0.04752851711026616,0.24012482297592555,6.698581298936603,4.594459406601834,2.1041218923347698,8.802703191271373,6.489631003793813
GasStationSushi,Stan_D_Man,180.0,212.25,65.0,52.0,24.0,186.0,24.0,148.0,0.020689655172413793,0.030187740008533637,0.008820735513638215,0.0068367078622140415,0.0029372169869049075,0.014442115071045888,0.00353045013239188,0.01875792141951838,0.10620254216666074,2.9626523157434823,4.594459406601834,-1.6318070908583513,1.330845224885131,0.0
GasStationSushi,candleflint,280.0,212.25,306.0,68.0,88.0,223.0,168.0,216.0,0.03218390804597701,0.030187740008533637,0.041525308725742976,0.008940310281356823,0.010769795618651328,0.017315008929264693,0.02471315092674316,0.02737642585551331,0.19301164839178295,5.384300558229868,4.594459406601834,0.7898411516280346,6.174141709857903,4.206611952588624
Girth Control,R41NY__,335.0,196.0,195.0,191.75,48.0,419.0,177.0,288.0,0.038505747126436785,0.027876546721661215,0.02646220654091464,0.025210360241914278,0.005874433973809815,0.03253358179982918,0.026037069726390114,0.03650190114068441,0.21900184727164043,6.109329557791947,5.83306138988477,0.276268167907177,6.385597725699124,4.390270625239437
Girth Control,TreeGameDev,235.0,196.0,131.0,47.75,16.0,156.0,100.5,232.0,0.027011494252873563,0.027876546721661215,0.01777717465056317,0.00627793846962924,0.001958144657936605,0.0121127416724901,0.014783759929390997,0.029404309252217996,0.13720210960676288,3.8274238964401235,5.83306138988477,-2.005637493444646,1.8217864029954773,0.42640359397046773
Girth Control,_savannah,195.0,196.0,190.0,207.75,259.0,398.0,147.0,108.0,0.022413793103448276,0.027876546721661215,0.025783688424480932,0.02731396266105706,0.031697466650348796,0.030903020420840126,0.021624007060900265,0.013688212927756654,0.2013006979704933,5.615533930131091,5.83306138988477,-0.21752745975367827,5.398006470377413,3.532505012128997
