Team,Name,BATTLEBOX_SCORE,BUILDBATTLE_SCORE,DROPPER_SCORE,PARKOUR_SCORE,SKYWARS_SCORE,SURVIVALGAMES_SCORE,TAG_SCORE,TNTRUN_SCORE,BATTLEBOX_PCT,BUILDBATTLE_PCT,DROPPER_PCT,PARKOUR_PCT,SKYWARS_PCT,SURVIVALGAMES_PCT,TAG_PCT,TNTRUN_PCT,SUM_PCT,SCORE,TEAM_AVG,DIFF,DEVSCORE,FINAL_SCORE
HighJackers,DrippinCauk,477.0,206.0,378.0,360.0,182.0,765.0,429.0,231.0,0.05112540192926045,0.03161448741559239,0.04769114307342922,0.049820094104622195,0.029331184528605964,0.12094861660079051,0.05061349693251534,0.034459610651152384,0.41560403523596845,10.0,7.055941128492023,2.944058871507977,12.944058871507977,10.0
HighJackers,HIGHFLY100,387.0,206.0,219.0,177.5,158.0,184.0,394.0,140.0,0.041479099678456595,0.03161448741559239,0.027630582891748676,0.024564074176584554,0.02546333601933924,0.02909090909090909,0.046484190655969794,0.02088461251584993,0.24721129244445028,5.9482409092609165,7.055941128492023,-1.1077002192311065,4.84054069002981,4.015161239245771
HighJackers,iheartburgers,417.0,206.0,234.0,236.5,194.0,279.0,375.0,199.5,0.04469453376205788,0.03161448741559239,0.029523088569265707,0.032729034043730974,0.03126510878323932,0.0441106719367589,0.044242567248702215,0.02976057283508615,0.28794006459443355,6.928230724009914,7.055941128492023,-0.12771040448210869,6.800520319527806,5.4627006652347685
HighJackers,j_scotty_,357.0,206.0,265.0,75.5,188.0,280.0,252.0,28.0,0.038263665594855306,0.03161448741559239,0.03343426696946757,0.0104483808469416,0.030298146655922644,0.04426877470355731,0.02973100519112789,0.004176922503169986,0.2222356498806347,5.3472928806972595,7.055941128492023,-1.7086482477947635,3.638644632902496,3.127503070534027
MEOW,Angel505,186.0,181.0,271.0,157.0,27.0,42.0,264.0,77.0,0.019935691318327974,0.027777777777777776,0.03419126924047439,0.021727096595626903,0.004351329572925061,0.0066403162055335965,0.03114676734308636,0.01148653688371746,0.1572567849374695,3.7838127545653752,6.071044435444323,-2.2872316808789477,1.4965810736864276,1.545485886134127
MEOW,GrayMan2003,156.0,181.0,9.0,1.0,57.0,126.0,250.0,63.0,0.016720257234726688,0.027777777777777776,0.0011355034065102195,0.0001383891502906172,0.009186140209508462,0.019920948616600792,0.029495044832468145,0.009398075632132468,0.11377213686001517,2.737512805798878,6.071044435444323,-3.333531629645445,-0.5960188238465669,0.0
MEOW,R41NY__,231.0,181.0,275.0,335.0,30.0,0.0,333.0,161.0,0.024758842443729903,0.027777777777777776,0.034695937421145594,0.04636036534735677,0.004834810636583401,0.0,0.03928739971684757,0.02401730439322742,0.20173243773666844,4.853957628735014,6.071044435444323,-1.2170868067093092,3.6368708220257044,3.126193025705111
MEOW,earthside,351.0,181.0,334.0,473.5,384.0,1214.0,441.0,386.0,0.03762057877813505,0.027777777777777776,0.04213979308604592,0.06552726266260725,0.06188557614826753,0.19193675889328063,0.05202925908447381,0.05758186022227195,0.53649886665286,12.908894552678026,6.071044435444323,6.837850117233703,19.746744669911727,15.024111346670987
Mulch Enjoyers,Gink0_,249.0,193.5,121.0,113.5,105.0,173.0,200.0,52.5,0.026688102893890675,0.029696132596685083,0.015266212465304062,0.015707168557985055,0.016921837228041903,0.027351778656126483,0.023596035865974516,0.007831729693443723,0.16305899795745152,3.9234219144400546,6.297166706371617,-2.3737447919315624,1.5496771225084922,1.5846998773804855
Mulch Enjoyers,Lord_Beaker,384.0,193.5,372.0,444.5,147.0,226.0,277.0,252.0,0.041157556270096464,0.029696132596685083,0.046934140802422405,0.06151397730417935,0.023690572119258662,0.03573122529644269,0.032680509674374705,0.037592302528529874,0.3089964165919892,7.43487527536997,6.297166706371617,1.1377085689983533,8.572583844368324,6.771454990513489
