Team,Name,BATTLEBOX_SCORE,BINGO_SCORE,BUILDBATTLE_SCORE,DROPPER_SCORE,PARKOUR_SCORE,SKYWARS_SCORE,SURVIVALGAMES_SCORE,TNTRUN_SCORE,BATTLEBOX_PCT,BINGO_PCT,BUILDBATTLE_PCT,DROPPER_PCT,PARKOUR_PCT,SKYWARS_PCT,SURVIVALGAMES_PCT,TNTRUN_PCT,SUM_PCT,SCORE,TEAM_AVG,DIFF,DEVSCORE,FINAL_SCORE
Big Boss,MoMo0976,197.0,90.0,107.5,225.0,133.0,190.0,140.0,42.0,0.07908470493777599,0.025839793281653745,0.07288135593220339,0.05436095675283885,0.0345679012345679,0.06666666666666667,0.051094890510948905,0.014553014553014554,0.39904928386967,4.919821928695494,4.585081185369795,0.3347407433256988,5.254562672021192,3.742961284288511
Big Boss,TheWander02,169.0,288.0,107.5,169.0,105.5,0.0,60.0,90.0,0.06784423926134082,0.082687338501292,0.07288135593220339,0.040831118627687846,0.02742040285899935,0.0,0.021897810218978103,0.031185031185031187,0.34474729658553266,4.250340442044095,4.585081185369795,-0.3347407433256997,3.9155996987183954,2.3889321597957984
DOOR,Samyntha,206.0,171.0,105.0,291.0,367.0,330.0,30.0,236.0,0.08269771176234444,0.04909560723514212,0.0711864406779661,0.07030683740033825,0.0953866146848603,0.11578947368421053,0.010948905109489052,0.08177408177408177,0.5771856723284327,7.11604015452314,8.55802007726157,-1.4419799227384305,5.6740602317847095,4.16717907439836
DOOR,cardsandhuskers,241.0,360.0,105.0,313.0,328.5,385.0,420.0,261.0,0.0967482938578884,0.10335917312661498,0.0711864406779661,0.0756221309495047,0.08538011695906433,0.13508771929824562,0.15328467153284672,0.09043659043659044,0.8111051368387213,10.0,8.55802007726157,1.4419799227384296,11.44197992273843,10.0
amesame,ShutdownSoCool,44.0,0.0,85.0,245.0,319.5,125.0,80.0,285.0,0.017663588920112404,0.0,0.0576271186440678,0.05919304179753564,0.08304093567251462,0.043859649122807015,0.029197080291970802,0.09875259875259876,0.389334013201607,4.800043736858018,4.806059448374009,-0.006015711515991562,4.794028025342026,3.277244653675952
amesame,snailberry,58.0,171.0,85.0,310.0,249.5,90.0,90.0,162.0,0.02328382175832999,0.04909560723514212,0.0576271186440678,0.0748973181928002,0.06484730344379468,0.031578947368421054,0.032846715328467155,0.056133056133056136,0.39030988810407913,4.812075159890002,4.806059448374009,0.00601571151599245,4.818090871405994,3.301578257396471
bleh,Caffeinated_Lady,37.0,216.0,85.0,145.0,91.5,165.0,100.0,42.0,0.014853472501003613,0.06201550387596899,0.0576271186440678,0.035032616574051705,0.023781676413255362,0.05789473684210526,0.0364963503649635,0.014553014553014554,0.30225448976843083,3.726452663664126,4.576700242372142,-0.8502475787080157,2.8762050849561103,1.3378421693060305
bleh,Mr_Diamond_2000,65.0,144.0,85.0,321.0,284.5,275.0,70.0,120.0,0.02609393817743878,0.041343669250646,0.0576271186440678,0.07755496496738343,0.07394411955815465,0.09649122807017543,0.025547445255474453,0.04158004158004158,0.4401825255033821,5.426947821080157,4.576700242372142,0.8502475787080153,6.277195399788172,4.77710078229148
team,Ryan_7777,264.0,333.0,110.0,223.0,263.0,85.0,20.0,250.0,0.10598153352067442,0.09560723514211886,0.07457627118644068,0.05387774824836917,0.06835607537361924,0.02982456140350877,0.0072992700729927005,0.08662508662508663,0.5221477815728104,6.437485818520138,6.694422190960093,-0.2569363724399558,6.180549446080182,4.679367358220612
team,YellowMandy,257.0,477.0,110.0,338.0,248.5,30.0,10.0,256.0,0.10317141710156563,0.13695090439276486,0.07457627118644068,0.08166223725537569,0.06458739441195581,0.010526315789473684,0.0036496350364963502,0.0887040887040887,0.5638282638781614,6.951358563400049,6.694422190960093,0.2569363724399558,7.208294935840005,5.718677147548243
wah,Horntalo,96.0,72.0,45.0,107.0,43.0,95.0,50.0,42.0,0.03853873946206343,0.020671834625323,0.030508474576271188,0.02585165498912781,0.011176088369070825,0.03333333333333333,0.01824817518248175,0.014553014553014554,0.1928813150906859,2.3780063314903908,3.2027637068265427,-0.8247573753361519,1.5532489561542389,0.0
wah,_AzureX,124.0,198.0,45.0,183.0,209.5,155.0,0.0,114.0,0.049779205138498595,0.056847545219638244,0.030508474576271188,0.0442135781589756,0.054450942170240414,0.054385964912280704,0.0,0.0395010395010395,0.3296867496769443,4.0646610988298875,3.2027637068265427,0.8618973920033448,4.926558490833232,3.411266365803676
wah,purploo,110.0,81.0,45.0,107.0,82.5,100.0,50.0,168.0,0.04415897230028101,0.023255813953488372,0.030508474576271188,0.02585165498912781,0.021442495126705652,0.03508771929824561,0.01824817518248175,0.058212058212058215,0.25676536363865965,3.165623690159349,3.2027637068265427,-0.0371400166671938,3.128483673492155,1.5929594228631752
