Name,FINAL_SCORE_1,FINAL_SCORE_2,FINAL_SCORE_3,FINAL_SCORE_4,FINAL_SCORE_5,FINAL_SCORE_6,FINAL_SCORE_7,AVG
0_0shiro,,,,,,,10.0,10.0
1Smokey,6.4909245686137345,,6.884561809529834,,4.669860636323593,,,6.0151156714890535
2Smokey,,,,,,,5.99224753289327,5.99224753289327
Angel505,,,,1.545485886134127,,,,1.545485886134127
Caffeinated_Lady,,,,,,1.3378421693060305,,1.3378421693060305
Cxxdii,,,,,,,8.124658088331362,8.124658088331362
DJ_Slime1,,,,3.4652762025505215,,,,3.4652762025505215
DeepThrt,,,,,,,0.4203559296797977,0.4203559296797977
Dellphoenix,4.723383983226698,0.1967240280382624,,,,,,2.4600540056324802
DrippinCauk,,,,10.0,7.007881557732866,,,8.503940778866433
F3V3X,,,3.7733872062698457,3.801685452570306,6.320600817726546,,,4.631891158855566
Gink0_,4.927451796059294,0.6421159221567977,3.074701431112063,1.5846998773804857,,,,2.55724225667716
GoodGuySam,,5.807749191522902,7.163374901028961,5.13667175245173,7.336593606142728,,,6.36109736278658
GrayMan2003,0.0,,0.0,0.0,,,0.0,0.0
HIGHFLY100,9.334975345756185,5.851392741384884,8.663369351182107,4.015161239245771,7.355097663165031,,5.625696053430717,6.807615399027449
Horntalo,,,,,,0.0,,0.0
Kodakiin,,,,1.298357832008172,0.0,,,0.649178916004086
Kortogyo,,,5.969464729361827,,,,,5.969464729361827
LawTheElvenking,,,2.019028001030164,,,,,2.019028001030164
LegacyMrDen,,,6.505255827621089,,5.149894139116236,,5.93818153856773,5.864443835101685
Lightbulb1622,,,,,,,2.3304254120532937,2.3304254120532937
LinkMaster12,3.3883114518313455,,,,,,,3.3883114518313455
LittleBubble64,3.0156221618744103,3.1801419712584336,,,,,3.210575703632284,3.1354466122550426
Lord_Beaker,10.401932195201072,6.489631003793813,6.2012505231958555,6.771454990513489,,,,7.466067178176058
Lord_The_Kaizer,,4.191905580931686,,3.2723039083719465,5.708085398804583,,4.800822948783471,4.493279459222921
MemelordMo,5.148507680887847,,,,,,,5.148507680887847
Minearhero,5.98691306190737,1.7055297678865358,,2.9875889550865433,,,5.6784949835027225,4.089631692095793
MoMo0976,,,,,,3.742961284288511,5.7442203680807475,4.743590826184629
